point_id,latitude,longitude,Code,ratio_cs_sr,organic_carbon_b0,organic_carbon_b10,clay_fraction_0_30,clay_fraction_30_60,sand_fraction_b0,sand_fraction_b10,bulk_density_b0,bulk_density_b10,soil_pH_b0,soil_pH_b10,elevation_m,slope_deg_final,twi_scaled,cs137_kBq_m2,sr90_kBq_m2,k40_Bq_kg,ra226_Bq_kg,th232_Bq_kg,scenario_name
282,50.936559,29.695122,1602,12.5,6.0,5.0,13.0,15.0,75.0,76.0,124.0,126.0,60.0,60.0,167.0,22.5,5.0,27.2,2.17,60.0,7.0,5.0,baseline
283,50.93682,29.73937,1605,14.0,10.0,9.0,11.0,13.0,73.0,74.0,111.0,120.0,54.0,54.0,157.0,29.5,4.56,19.6,1.4,107.0,22.0,8.0,baseline
284,50.935877,29.780267,1608,6.03,11.0,11.0,13.0,14.0,65.0,65.0,117.0,120.0,55.0,55.0,161.0,29.0,5.39,25.8,4.28,150.0,8.0,6.0,baseline
285,50.93575,29.82374,1611,13.0,4.0,5.0,11.0,12.0,67.0,67.0,132.0,132.0,58.0,58.0,157.0,18.8,5.06,29.1,2.24,50.0,9.0,4.5,baseline
286,50.935984,29.866694,1614,5.81,4.0,5.0,20.0,21.0,54.0,53.0,129.0,128.0,65.0,65.0,147.0,6.0,5.91,33.1,5.69,140.0,8.0,8.0,baseline
287,50.93631,29.88148,1615,6.39,4.0,4.0,17.0,18.0,52.0,52.0,129.0,128.0,67.0,67.0,142.0,10.7,5.28,40.8,6.38,240.0,17.0,24.0,baseline
288,50.936001,29.895249,1618,7.02,4.0,4.0,17.0,19.0,45.0,45.0,124.0,123.0,69.0,69.0,136.0,11.4,5.84,48.5,6.91,202.0,15.0,17.0,baseline
289,50.93622,29.90966,1621,3.84,5.0,4.0,18.0,19.0,46.0,46.0,126.0,126.0,70.0,70.0,114.0,25.9,5.39,23.2,6.04,198.0,16.0,15.0,baseline
290,50.93609,29.95312,1624,2.48,8.0,7.0,19.0,20.0,47.0,46.0,127.0,126.0,66.0,66.0,110.0,1.3,7.61,52.0,21.0,96.0,13.0,16.0,baseline
291,50.936169,29.997449,1627,17.8,6.0,6.0,14.0,15.0,72.0,72.0,112.0,117.0,54.0,54.0,140.0,16.0,5.03,58.1,3.26,50.0,8.0,4.0,baseline
292,50.93582,30.03905,1630,4.86,6.0,5.0,11.0,12.0,76.0,76.0,116.0,124.0,52.0,53.0,126.0,38.1,4.19,67.6,13.9,50.0,9.0,4.0,baseline
293,50.935984,30.080888,1633,4.06,4.0,4.0,14.0,15.0,58.0,58.0,129.0,129.0,62.0,62.0,114.0,4.0,6.62,116.0,28.7,71.0,14.0,8.0,baseline
