Code,latitude,longitude,target_dose_rate,target_dose_rate_0_1m,organic_carbon_b0,organic_carbon_b10,clay_fraction_0_30,clay_fraction_30_60,sand_fraction_b0,sand_fraction_b10,bulk_density_b0,bulk_density_b10,soil_pH_b0,soil_pH_b10,elevation_m,slope_deg_final,twi_scaled
97,51.115849,29.909532,0.1,0.12,4.0,4.0,14.0,15.0,65.0,65.0,136.0,136.0,62.0,62.0,139.0,44.8,3.84
98,51.116323,29.923639,0.11,0.11,5.0,5.0,11.0,12.0,67.0,67.0,126.0,125.0,60.0,60.0,137.0,7.3,6.05
99,51.116264,29.939621,0.11,0.11,5.0,6.0,12.0,14.0,53.0,53.0,130.0,130.0,61.0,61.0,132.0,12.9,5.14
100,51.115678,29.951585,0.1,0.12,5.0,5.0,17.0,19.0,56.0,56.0,131.0,130.0,66.0,66.0,118.0,14.9,5.44
101,51.115849,29.966651,0.12,0.13,5.0,5.0,16.0,18.0,50.0,50.0,132.0,130.0,66.0,66.0,117.0,1.3,7.68
102,51.115856,29.980922,0.12,0.14,6.0,5.0,15.0,17.0,46.0,45.0,120.0,120.0,67.0,67.0,117.0,0.6,8.13
103,51.116323,29.995139,0.12,0.14,5.0,5.0,15.0,16.0,56.0,56.0,130.0,128.0,63.0,63.0,116.0,9.6,5.79
104,51.115849,30.00949,0.13,0.14,4.0,4.0,14.0,16.0,69.0,70.0,123.0,123.0,60.0,60.0,117.0,13.3,5.59
105,51.115856,30.018999,0.14,0.14,4.0,4.0,15.0,16.0,56.0,56.0,129.0,127.0,62.0,62.0,119.0,25.8,4.83
106,51.116417,30.02203,0.14,0.16,5.0,4.0,15.0,16.0,54.0,54.0,126.0,124.0,64.0,64.0,121.0,27.6,4.78
107,51.115856,30.028519,0.11,0.11,4.0,4.0,15.0,16.0,54.0,54.0,132.0,131.0,62.0,62.0,132.0,37.9,4.48
108,51.115856,30.038037,0.12,0.13,5.0,5.0,17.0,19.0,50.0,50.0,132.0,130.0,65.0,64.0,133.0,11.5,5.48
109,51.115849,30.052328,0.12,0.12,5.0,5.0,17.0,19.0,53.0,53.0,131.0,130.0,64.0,64.0,119.0,10.8,5.73
110,51.115856,30.0666,0.11,0.11,4.0,4.0,18.0,20.0,51.0,50.0,135.0,133.0,65.0,65.0,123.0,3.9,6.76
111,51.115856,30.080875,0.11,0.12,4.0,4.0,17.0,18.0,49.0,49.0,134.0,136.0,65.0,65.0,126.0,13.3,5.43
112,51.115849,30.095167,0.1,0.11,5.0,5.0,18.0,19.0,51.0,49.0,137.0,136.0,70.0,70.0,126.0,9.2,5.75
113,51.115856,30.109432,0.11,0.11,5.0,5.0,17.0,18.0,52.0,52.0,141.0,141.0,69.0,69.0,126.0,6.1,6.89
114,51.115849,30.123726,0.14,0.16,5.0,5.0,13.0,14.0,58.0,58.0,132.0,132.0,59.0,59.0,141.0,25.7,4.57
115,51.11586,30.13847,0.14,0.14,8.0,8.0,12.0,13.0,65.0,65.0,126.0,125.0,58.0,58.0,142.0,18.6,5.38
116,51.115849,30.209404,0.11,0.11,5.0,4.0,16.0,17.0,69.0,70.0,124.0,128.0,57.0,57.0,122.0,1.2,7.47
117,51.115856,30.223663,0.09,0.09,6.0,6.0,15.0,16.0,62.0,61.0,119.0,126.0,53.0,52.0,123.0,8.3,6.21
