spatial_group,n_rows,lat_min,lat_max,lon_min,lon_max
2_32,2,50.795115,50.80111,30.038037,30.052317
2_6,2,50.79279,50.80115,29.52336,29.52362
2_7,2,50.78651,50.78891,29.53798,29.55187
3_25,2,50.81033,50.81948,29.89986,29.91423
4_10,2,50.828065,50.82841,29.595381,29.6095
4_12,2,50.8291,50.83716,29.64882,29.65034
4_13,2,50.83714,50.84052,29.66121,29.67177
4_17,2,50.82842,50.8461,29.7381,29.7384
4_20,2,50.83407,50.83717,29.79894,29.80961
4_21,2,50.82773,50.84361,29.8196,29.82307
4_29,2,50.828065,50.84558,29.98077,29.99521
4_32,2,50.828089,50.837058,30.038037,30.052328
4_7,2,50.84024,50.8405,29.53695,29.54701
4_8,2,50.82792,50.83419,29.55745,29.56786
5_16,2,50.84633,50.85507,29.72407,29.72476
5_17,2,50.85599,50.86394,29.73814,29.73887
5_33,2,50.855044,50.86163,30.05635,30.066608
5_8,2,50.855485,50.86114,29.55719,29.566641
6_22,2,50.873052,50.879047,29.838133,29.847653
6_23,2,50.870054,50.882024,29.86669,29.866694
6_24,2,50.879047,50.885042,29.87621,29.885729
7_10,2,50.89129,50.9006,29.61066,29.61509
8_13,2,50.91179,50.91794,29.66702,29.6682
8_6,2,50.90913,50.92474,29.523996,29.52413
8_8,2,50.909004,50.921013,29.566716,29.571594
9_12,2,50.93321,50.93602,29.63793,29.65263
9_28,2,50.93013,50.94224,29.96157,29.97181
0_10,1,50.747154,50.747154,29.60967,29.60967
0_12,1,50.747154,50.747154,29.652507,29.652507
0_15,1,50.747753,50.747753,29.695343,29.695343
0_17,1,50.747125,50.747125,29.738101,29.738101
0_19,1,50.747125,50.747125,29.780948,29.780948
0_21,1,50.747154,50.747154,29.823854,29.823854
0_23,1,50.747154,50.747154,29.86669,29.86669
0_25,1,50.747503,50.747503,29.909794,29.909794
0_27,1,50.74714,50.74714,29.95358,29.95358
0_29,1,50.747665,50.747665,29.994827,29.994827
0_32,1,50.747154,50.747154,30.03899,30.03899
0_34,1,50.747296,50.747296,30.080938,30.080938
0_4,1,50.7463,50.7463,29.47899,29.47899
0_6,1,50.747125,50.747125,29.523869,29.523869
0_8,1,50.747125,50.747125,29.566822,29.566822
10_0,1,50.962981,50.962981,29.395487,29.395487
10_10,1,50.962043,50.962043,29.609604,29.609604
10_12,1,50.962583,50.962583,29.651804,29.651804
10_18,1,50.95425,50.95425,29.7667,29.7667
10_19,1,50.96294,50.96294,29.7816,29.7816
10_21,1,50.96257,50.96257,29.82359,29.82359
10_27,1,50.9628,50.9628,29.93671,29.93671
10_29,1,50.94785,50.94785,29.98131,29.98131
10_3,1,50.956985,50.956985,29.466881,29.466881
10_30,1,50.962413,50.962413,29.996578,29.996578
10_34,1,50.963576,50.963576,30.078535,30.078535
10_5,1,50.953985,50.953985,29.495439,29.495439
10_6,1,50.962981,50.962981,29.52422,29.52422
11_1,1,50.98112,50.98112,29.43281,29.43281
11_24,1,50.96917,50.96917,29.87584,29.87584
11_28,1,50.98092,50.98092,29.97109,29.97109
11_32,1,50.980965,50.980965,30.052317,30.052317
11_5,1,50.9752,50.9752,29.51049,29.51049
11_9,1,50.9809,50.9809,29.58118,29.58118
12_0,1,50.989943,50.989943,29.39533,29.39533
12_10,1,50.98957,50.98957,29.60909,29.60909
12_12,1,50.989943,50.989943,29.6525,29.6525
12_2,1,50.988598,50.988598,29.438219,29.438219
12_21,1,50.98869,50.98869,29.82286,29.82286
12_23,1,50.991258,50.991258,29.865266,29.865266
12_25,1,50.98952,50.98952,29.90993,29.90993
12_26,1,50.99581,50.99581,29.92384,29.92384
12_27,1,50.99009,50.99009,29.95323,29.95323
12_28,1,50.986961,50.986961,29.966644,29.966644
12_30,1,51.00467,51.00467,30.00338,30.00338
12_34,1,50.990691,50.990691,30.081797,30.081797
12_36,1,50.989958,50.989958,30.123711,30.123711
12_8,1,50.99044,50.99044,29.56701,29.56701
12_9,1,50.99004,50.99004,29.58575,29.58575
13_10,1,51.017298,51.017298,29.610322,29.610322
13_12,1,51.016936,51.016936,29.652507,29.652507
